property,species,enrichment_quantity,enriched,enrichment_state
Motor proteins,sorangutan,0.699,1,enriched
Motor proteins,gorilla,0.0,0,not_enriched
Axon guidance,bonobo,0.632,1,enriched
Axon guidance,human,0.5961,1,enriched
Axon guidance,borangutan,0.0,0,not_enriched
Axon guidance,chimpanzee,0.5572,1,enriched
Axon guidance,gibbon,0.6271,1,enriched
Axon guidance,sorangutan,0.0,0,not_enriched
Axon guidance,gorilla,0.0,0,not_enriched
Relaxin signaling pathway,bonobo,0.5985,1,enriched
Relaxin signaling pathway,human,0.6608,1,enriched
Relaxin signaling pathway,borangutan,0.579,1,enriched
Relaxin signaling pathway,chimpanzee,0.0,0,not_enriched
Relaxin signaling pathway,gibbon,0.0,0,not_enriched
Relaxin signaling pathway,sorangutan,0.0,0,not_enriched
Relaxin signaling pathway,gorilla,0.0,0,not_enriched
Human papillomavirus infection,bonobo,0.5976,1,enriched
Human papillomavirus infection,human,0.6186,1,enriched
Human papillomavirus infection,borangutan,0.512,1,enriched
Human papillomavirus infection,chimpanzee,0.6446,1,enriched
Human papillomavirus infection,gibbon,0.5811,1,enriched
Human papillomavirus infection,sorangutan,0.5166,1,enriched
Human papillomavirus infection,gorilla,0.0,0,not_enriched
Calcium signaling pathway,bonobo,0.5195,1,enriched
Calcium signaling pathway,human,0.0,0,not_enriched
Calcium signaling pathway,borangutan,0.0,0,not_enriched
Calcium signaling pathway,chimpanzee,0.5139,1,enriched
Calcium signaling pathway,gibbon,0.5177,1,enriched
Calcium signaling pathway,sorangutan,0.0,0,not_enriched
Calcium signaling pathway,gorilla,0.0,0,not_enriched
PI3K-Akt signaling pathway,bonobo,0.5023,1,enriched
PI3K-Akt signaling pathway,human,0.471,1,enriched
PI3K-Akt signaling pathway,borangutan,0.5073,1,enriched
PI3K-Akt signaling pathway,chimpanzee,0.4829,1,enriched
PI3K-Akt signaling pathway,gibbon,0.0,0,not_enriched
PI3K-Akt signaling pathway,sorangutan,0.5,1,enriched
PI3K-Akt signaling pathway,gorilla,0.0,0,not_enriched
GnRH signaling pathway,bonobo,0.0,0,not_enriched
GnRH signaling pathway,human,0.7581,1,enriched
GnRH signaling pathway,borangutan,0.713,1,enriched
GnRH signaling pathway,chimpanzee,0.0,0,not_enriched
GnRH signaling pathway,gibbon,0.7633,1,enriched
GnRH signaling pathway,sorangutan,0.7441,1,enriched
GnRH signaling pathway,gorilla,0.0,0,not_enriched
Gastric acid secretion,bonobo,0.0,0,not_enriched
Gastric acid secretion,human,0.0,0,not_enriched
Gastric acid secretion,borangutan,0.7043,1,enriched
Gastric acid secretion,chimpanzee,0.6786,1,enriched
Gastric acid secretion,gibbon,0.0,0,not_enriched
Gastric acid secretion,sorangutan,0.0,0,not_enriched
Gastric acid secretion,gorilla,0.0,0,not_enriched
Endocrine resistance,bonobo,0.0,0,not_enriched
Endocrine resistance,human,0.0,0,not_enriched
Endocrine resistance,borangutan,0.657,1,enriched
Endocrine resistance,chimpanzee,0.0,0,not_enriched
Endocrine resistance,gibbon,0.0,0,not_enriched
Endocrine resistance,sorangutan,0.688,1,enriched
Endocrine resistance,gorilla,0.0,0,not_enriched
Insulin resistance,bonobo,0.0,0,not_enriched
Insulin resistance,human,0.0,0,not_enriched
Insulin resistance,borangutan,0.6562,1,enriched
Insulin resistance,chimpanzee,0.0,0,not_enriched
Insulin resistance,gibbon,0.0,0,not_enriched
Insulin resistance,sorangutan,0.6467,1,enriched
Insulin resistance,gorilla,0.0,0,not_enriched
Glucagon signaling pathway,bonobo,0.0,0,not_enriched
Glucagon signaling pathway,human,0.0,0,not_enriched
Glucagon signaling pathway,borangutan,0.6197,1,enriched
Glucagon signaling pathway,chimpanzee,0.0,0,not_enriched
Glucagon signaling pathway,gibbon,0.0,0,not_enriched
Glucagon signaling pathway,sorangutan,0.6827,1,enriched
Glucagon signaling pathway,gorilla,0.0,0,not_enriched
AMPK signaling pathway,bonobo,0.0,0,not_enriched
AMPK signaling pathway,human,0.0,0,not_enriched
AMPK signaling pathway,borangutan,0.59,1,enriched
AMPK signaling pathway,chimpanzee,0.0,0,not_enriched
AMPK signaling pathway,gibbon,0.0,0,not_enriched
AMPK signaling pathway,sorangutan,0.6138,1,enriched
AMPK signaling pathway,gorilla,0.0,0,not_enriched
Reg. of actin cytoskeleton,bonobo,0.0,0,not_enriched
Reg. of actin cytoskeleton,human,0.0,0,not_enriched
Reg. of actin cytoskeleton,borangutan,0.4833,1,enriched
Reg. of actin cytoskeleton,chimpanzee,0.0,0,not_enriched
Reg. of actin cytoskeleton,gibbon,0.5436,1,enriched
Reg. of actin cytoskeleton,sorangutan,0.0,0,not_enriched
Reg. of actin cytoskeleton,gorilla,0.0,0,not_enriched
MAPK signaling pathway,bonobo,0.0,0,not_enriched
MAPK signaling pathway,human,0.0,0,not_enriched
MAPK signaling pathway,borangutan,0.4708,1,enriched
MAPK signaling pathway,chimpanzee,0.0,0,not_enriched
MAPK signaling pathway,gibbon,0.0,0,not_enriched
MAPK signaling pathway,sorangutan,0.4905,1,enriched
MAPK signaling pathway,gorilla,0.0,0,not_enriched
Protein digestion and absorption,bonobo,0.0,0,not_enriched
Protein digestion and absorption,human,0.7148,1,enriched
Protein digestion and absorption,borangutan,0.0,0,not_enriched
Protein digestion and absorption,chimpanzee,0.7286,1,enriched
Protein digestion and absorption,gibbon,0.7835,1,enriched
Protein digestion and absorption,sorangutan,0.0,0,not_enriched
Protein digestion and absorption,gorilla,0.0,0,not_enriched
Osteoclast differentiation,bonobo,0.0,0,not_enriched
Osteoclast differentiation,human,0.641,1,enriched
Osteoclast differentiation,borangutan,0.0,0,not_enriched
Osteoclast differentiation,chimpanzee,0.6198,1,enriched
Osteoclast differentiation,gibbon,0.0,0,not_enriched
Osteoclast differentiation,sorangutan,0.0,0,not_enriched
Osteoclast differentiation,gorilla,0.0,0,not_enriched
Metabolic pathways,bonobo,0.0,0,not_enriched
Metabolic pathways,human,0.0,0,not_enriched
Metabolic pathways,borangutan,0.0,0,not_enriched
Metabolic pathways,chimpanzee,0.3469,1,enriched
Metabolic pathways,gibbon,0.3322,1,enriched
Metabolic pathways,sorangutan,0.0,0,not_enriched
Metabolic pathways,gorilla,0.0,0,not_enriched
Pancreatic secretion,bonobo,0.0,0,not_enriched
Pancreatic secretion,human,0.0,0,not_enriched
Pancreatic secretion,borangutan,0.0,0,not_enriched
Pancreatic secretion,chimpanzee,0.0,0,not_enriched
Pancreatic secretion,gibbon,0.6806,1,enriched
Pancreatic secretion,sorangutan,0.0,0,not_enriched
Pancreatic secretion,gorilla,0.0,0,not_enriched
Growth hormone synthesis secretion and action,bonobo,0.0,0,not_enriched
Growth hormone synthesis secretion and action,human,0.6458,1,enriched
Growth hormone synthesis secretion and action,borangutan,0.0,0,not_enriched
Growth hormone synthesis secretion and action,chimpanzee,0.0,0,not_enriched
Growth hormone synthesis secretion and action,gibbon,0.6325,1,enriched
Growth hormone synthesis secretion and action,sorangutan,0.0,0,not_enriched
Growth hormone synthesis secretion and action,gorilla,0.0,0,not_enriched
Oxytocin signaling pathway,bonobo,0.0,0,not_enriched
Oxytocin signaling pathway,human,0.0,0,not_enriched
Oxytocin signaling pathway,borangutan,0.0,0,not_enriched
Oxytocin signaling pathway,chimpanzee,0.0,0,not_enriched
Oxytocin signaling pathway,gibbon,0.5734,1,enriched
Oxytocin signaling pathway,sorangutan,0.0,0,not_enriched
Oxytocin signaling pathway,gorilla,0.0,0,not_enriched
Rap1 signaling pathway,bonobo,0.0,0,not_enriched
Rap1 signaling pathway,human,0.0,0,not_enriched
Rap1 signaling pathway,borangutan,0.0,0,not_enriched
Rap1 signaling pathway,chimpanzee,0.0,0,not_enriched
Rap1 signaling pathway,gibbon,0.5026,1,enriched
Rap1 signaling pathway,sorangutan,0.0,0,not_enriched
Rap1 signaling pathway,gorilla,0.0,0,not_enriched
"ECM-receptor interaction, and Cell-extracellular matrix interactions",bonobo,0.0,0,not_enriched
"ECM-receptor interaction, and Cell-extracellular matrix interactions",human,0.0,0,not_enriched
"ECM-receptor interaction, and Cell-extracellular matrix interactions",borangutan,0.0,0,not_enriched
"ECM-receptor interaction, and Cell-extracellular matrix interactions",chimpanzee,0.0,0,not_enriched
"ECM-receptor interaction, and Cell-extracellular matrix interactions",gibbon,0.0,0,not_enriched
"ECM-receptor interaction, and Cell-extracellular matrix interactions",sorangutan,0.0,0,not_enriched
"ECM-receptor interaction, and Cell-extracellular matrix interactions",gorilla,1.2282,1,enriched
Extracellular matrix organization,bonobo,0.0,0,not_enriched
Extracellular matrix organization,human,0.0,0,not_enriched
Extracellular matrix organization,borangutan,0.0,0,not_enriched
Extracellular matrix organization,chimpanzee,0.0,0,not_enriched
Extracellular matrix organization,gibbon,0.0,0,not_enriched
Extracellular matrix organization,sorangutan,0.0,0,not_enriched
Extracellular matrix organization,gorilla,0.6354,1,enriched
Protein kinase-like domain superfamily,bonobo,0.0,0,not_enriched
Protein kinase-like domain superfamily,human,0.0,0,not_enriched
Protein kinase-like domain superfamily,borangutan,0.0,0,not_enriched
Protein kinase-like domain superfamily,chimpanzee,0.0,0,not_enriched
Protein kinase-like domain superfamily,gibbon,0.0,0,not_enriched
Protein kinase-like domain superfamily,sorangutan,0.0,0,not_enriched
Protein kinase-like domain superfamily,gorilla,0.6245,1,enriched
Protein kinase domain,bonobo,0.0,0,not_enriched
Protein kinase domain,human,0.0,0,not_enriched
Protein kinase domain,borangutan,0.0,0,not_enriched
Protein kinase domain,chimpanzee,0.0,0,not_enriched
Protein kinase domain,gibbon,0.0,0,not_enriched
Protein kinase domain,sorangutan,0.0,0,not_enriched
Protein kinase domain,gorilla,0.6226,1,enriched
Protein kinase activity,bonobo,0.0,0,not_enriched
Protein kinase activity,human,0.0,0,not_enriched
Protein kinase activity,borangutan,0.0,0,not_enriched
Protein kinase activity,chimpanzee,0.0,0,not_enriched
Protein kinase activity,gibbon,0.0,0,not_enriched
Protein kinase activity,sorangutan,0.0,0,not_enriched
Protein kinase activity,gorilla,0.5543,1,enriched
"Phosphotransferase activity, alcohol group as acceptor",bonobo,0.0,0,not_enriched
"Phosphotransferase activity, alcohol group as acceptor",human,0.0,0,not_enriched
"Phosphotransferase activity, alcohol group as acceptor",borangutan,0.0,0,not_enriched
"Phosphotransferase activity, alcohol group as acceptor",chimpanzee,0.0,0,not_enriched
"Phosphotransferase activity, alcohol group as acceptor",gibbon,0.0,0,not_enriched
"Phosphotransferase activity, alcohol group as acceptor",sorangutan,0.0,0,not_enriched
"Phosphotransferase activity, alcohol group as acceptor",gorilla,0.5275,1,enriched
ATP-binding,bonobo,0.0,0,not_enriched
ATP-binding,human,0.0,0,not_enriched
ATP-binding,borangutan,0.0,0,not_enriched
ATP-binding,chimpanzee,0.0,0,not_enriched
ATP-binding,gibbon,0.0,0,not_enriched
ATP-binding,sorangutan,0.0,0,not_enriched
ATP-binding,gorilla,0.5198,1,enriched
Kinase activity,bonobo,0.0,0,not_enriched
Kinase activity,human,0.0,0,not_enriched
Kinase activity,borangutan,0.0,0,not_enriched
Kinase activity,chimpanzee,0.0,0,not_enriched
Kinase activity,gibbon,0.0,0,not_enriched
Kinase activity,sorangutan,0.0,0,not_enriched
Kinase activity,gorilla,0.4891,1,enriched
"Transferase activity, transferring phosphorus-containing groups",bonobo,0.0,0,not_enriched
"Transferase activity, transferring phosphorus-containing groups",human,0.0,0,not_enriched
"Transferase activity, transferring phosphorus-containing groups",borangutan,0.0,0,not_enriched
"Transferase activity, transferring phosphorus-containing groups",chimpanzee,0.0,0,not_enriched
"Transferase activity, transferring phosphorus-containing groups",gibbon,0.0,0,not_enriched
"Transferase activity, transferring phosphorus-containing groups",sorangutan,0.0,0,not_enriched
"Transferase activity, transferring phosphorus-containing groups",gorilla,0.4604,1,enriched
Phosphorylation,bonobo,0.0,0,not_enriched
Phosphorylation,human,0.0,0,not_enriched
Phosphorylation,borangutan,0.0,0,not_enriched
Phosphorylation,chimpanzee,0.0,0,not_enriched
Phosphorylation,gibbon,0.0,0,not_enriched
Phosphorylation,sorangutan,0.0,0,not_enriched
Phosphorylation,gorilla,0.4482,1,enriched
ATP binding,bonobo,0.0,0,not_enriched
ATP binding,human,0.0,0,not_enriched
ATP binding,borangutan,0.0,0,not_enriched
ATP binding,chimpanzee,0.0,0,not_enriched
ATP binding,gibbon,0.0,0,not_enriched
ATP binding,sorangutan,0.0,0,not_enriched
ATP binding,gorilla,0.418,1,enriched
Adenyl ribonucleotide binding,bonobo,0.0,0,not_enriched
Adenyl ribonucleotide binding,human,0.0,0,not_enriched
Adenyl ribonucleotide binding,borangutan,0.0,0,not_enriched
Adenyl ribonucleotide binding,chimpanzee,0.0,0,not_enriched
Adenyl ribonucleotide binding,gibbon,0.0,0,not_enriched
Adenyl ribonucleotide binding,sorangutan,0.0,0,not_enriched
Adenyl ribonucleotide binding,gorilla,0.4105,1,enriched
Adenyl nucleotide binding,bonobo,0.0,0,not_enriched
Adenyl nucleotide binding,human,0.0,0,not_enriched
Adenyl nucleotide binding,borangutan,0.0,0,not_enriched
Adenyl nucleotide binding,chimpanzee,0.0,0,not_enriched
Adenyl nucleotide binding,gibbon,0.0,0,not_enriched
Adenyl nucleotide binding,sorangutan,0.0,0,not_enriched
Adenyl nucleotide binding,gorilla,0.4073,1,enriched
Anatomical structure morphogenesis,bonobo,0.0,0,not_enriched
Anatomical structure morphogenesis,human,0.0,0,not_enriched
