property,species,foreground,background,enrichment_quantity,fg_bg_pair,enriched,enrichment_state
Retrograde endocannabinoid signaling,sorangutan,genes_with_shadow,genes_with_shadow,0.0,genes_with_shadow | genes_with_shadow,0,not_enriched
Retrograde endocannabinoid signaling,sorangutan,genes_without_shadow,no_bg,0.0,genes_without_shadow | no_bg,0,not_enriched
Retrograde endocannabinoid signaling,sorangutan,genes_without_shadow,all_genes,0.0,genes_without_shadow | all_genes,0,not_enriched
Retrograde endocannabinoid signaling,sorangutan,genes_without_shadow,genes_with_shadow,0.0,genes_without_shadow | genes_with_shadow,0,not_enriched
Retrograde endocannabinoid signaling,chimpanzee,symmetric_shadow,no_bg,0.0,symmetric_shadow | no_bg,0,not_enriched
Retrograde endocannabinoid signaling,chimpanzee,symmetric_shadow,all_genes,0.0,symmetric_shadow | all_genes,0,not_enriched
Retrograde endocannabinoid signaling,chimpanzee,symmetric_shadow,genes_with_shadow,0.0,symmetric_shadow | genes_with_shadow,0,not_enriched
Retrograde endocannabinoid signaling,chimpanzee,no_upstream,no_bg,0.0,no_upstream | no_bg,0,not_enriched
Retrograde endocannabinoid signaling,chimpanzee,no_upstream,all_genes,0.0,no_upstream | all_genes,0,not_enriched
Retrograde endocannabinoid signaling,chimpanzee,no_upstream,genes_with_shadow,0.0,no_upstream | genes_with_shadow,0,not_enriched
Retrograde endocannabinoid signaling,chimpanzee,no_downstream,no_bg,0.0,no_downstream | no_bg,0,not_enriched
Retrograde endocannabinoid signaling,chimpanzee,no_downstream,all_genes,0.0,no_downstream | all_genes,0,not_enriched
Retrograde endocannabinoid signaling,chimpanzee,no_downstream,genes_with_shadow,0.0,no_downstream | genes_with_shadow,0,not_enriched
Retrograde endocannabinoid signaling,chimpanzee,genes_with_shadow,no_bg,0.0,genes_with_shadow | no_bg,0,not_enriched
Retrograde endocannabinoid signaling,chimpanzee,genes_with_shadow,all_genes,0.0,genes_with_shadow | all_genes,0,not_enriched
